date,symbol,name,open,high,low,close,prev_close,volume
2026-08-25,ADVIKCA,ADVIK CAPITAL LTD.,1.21,1.23,1.16,1.2,1.19,261735
2026-08-25,RAMBHAJO,ADVIT JEWELS LIMITED,225.19,242.0,207.0,213.2,212.89,9924084
2026-08-25,AEGISLOG,AEGIS LOGISTICS LIMITED,1356.1,1361.2,1311.1,1321.6,1341.5,571623
2026-08-25,AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,273.0,273.05,266.1,267.7,270.3,352115
2026-08-25,AEQUS,AEQUS LIMITED,257.0,258.38,248.3,255.2,256.07,1873451
2026-08-25,AEROENTER,AEROFLEX ENTERPRISES LTD,140.0,142.0,136.08,140.74,139.23,675104
2026-08-25,AEROFLEX,AEROFLEX INDUSTRIES LTD,503.0,511.0,489.05,495.75,504.25,949113
2026-08-25,AERONEU,AEROFLEX NEU LIMITED,82.92,87.0,81.2,84.64,81.16,4728
2026-08-25,AETHER,AETHER INDUSTRIES LIMITED,1666.8,1673.0,1622.2,1633.9,1667.8,220552
2026-08-25,AFCONS,AFCONS INFRASTRUCTURE LTD,287.0,290.9,281.45,285.7,278.65,3986090
2026-08-25,AFFLE,AFFLE 3I LIMITED,1735.1,1735.1,1683.4,1710.8,1740.0,133100
2026-08-25,AGARIND,AGARWAL INDS CORP LTD.,485.8,487.75,465.5,471.8,485.8,65961
2026-08-25,AGI,AGI GREENPAC LIMITED,742.0,757.0,725.3,730.85,741.65,203476
2026-08-25,AGIIL,AGI INFRA LIMITED,291.0,291.2,280.8,283.0,288.3,396981
2026-08-25,AGRITECH,AGRI-TECH (INDIA) LIMITED,102.51,102.51,101.0,101.16,102.05,759
2026-08-25,AGROPHOS,AGRO PHOS INDIA LIMITED,27.34,27.7,25.7,26.49,26.18,34120
2026-08-25,AHLADA,AHLADA ENGINEERS LIMITED,37.64,38.16,36.8,37.0,37.64,13327
2026-08-25,AHLUCONT,AHLUWALIA CONT IND LTD,649.6,665.0,643.5,651.75,649.6,121256
2026-08-25,AIAENG,AIA ENGINEERING LIMITED,4276.9,4318.9,4245.0,4267.4,4276.3,24623
2026-08-25,AIRAN,AIRAN LIMITED,14.9,15.15,14.9,15.0,15.17,31105
2026-08-25,AIROLAM,AIRO LAM LIMITED,88.99,89.0,88.95,88.95,88.99,1515
2026-08-25,AJANTPHARM,AJANTA PHARMA LIMITED,3580.0,3580.0,3500.7,3554.9,3579.9,116770
2026-08-25,AJAXENGG,AJAX ENGINEERING LIMITED,576.8,576.8,565.0,570.6,576.85,64413
2026-08-25,AJMERA,AJMERA REALTY & INF I LTD,117.0,119.88,116.7,117.44,118.6,184520
2026-08-25,AJOONI,AJOONI BIOTECH LIMITED,3.75,3.81,3.6,3.62,3.75,554802
2026-08-25,AKASH,AKASH INFRA-PROJECTS LTD,25.89,25.89,24.38,24.77,24.8,4314
2026-08-25,AKG,AKG EXIM LIMITED,8.92,9.25,8.86,8.99,8.92,44934
2026-08-25,AKI,AKI INDIA LIMITED,4.24,4.28,4.06,4.17,4.15,569416
2026-08-25,AFIL,AKME FINTRADE (INDIA) LTD,10.23,10.23,9.7,9.8,10.05,879536
2026-08-25,AKSHAR,AKSHAR SPINTEX LIMITED,0.41,0.42,0.41,0.41,0.41,605009
2026-08-25,AKUMS,AKUMS DRUGS AND PHARMA L,776.5,783.0,744.0,745.05,770.35,245722
2026-08-25,ALANKIT,ALANKIT LIMITED,8.11,8.2,8.01,8.1,8.11,83755
2026-08-25,ALBERTDAVD,ALBERT DAVID LIMITED,895.0,895.0,860.0,867.95,888.7,10291
2026-08-25,ALEMBICLTD,ALEMBIC LIMITED,92.37,97.0,91.16,94.66,91.64,1990793
2026-08-25,APLLTD,ALEMBIC PHARMA LTD,816.9,820.0,801.05,803.1,816.9,37809
2026-08-25,ALFREDHE,ALFRED HERBERT INDIA L,2985.0,3000.0,2985.0,2985.0,2985.0,24
2026-08-25,ALGOQUANT,ALGOQUANT FINTECH LIMITED,66.37,67.57,65.9,67.13,66.04,1229668
2026-08-25,ALICON,ALICON CASTALLOY LIMITED,727.0,727.25,690.0,697.8,726.5,57256
2026-08-25,ALIVUS,ALIVUS LIFE SCIENCES LTD,1369.0,1370.0,1335.2,1348.4,1366.1,33422
2026-08-25,ALKEM,ALKEM LABORATORIES LTD.,5378.0,5378.0,5297.0,5368.0,5350.0,48065
2026-08-25,ALKYLAMINE,ALKYL AMINES CHEM. LTD,2055.0,2100.5,2022.1,2061.5,2083.8,101592
2026-08-25,ALLTIME,ALL TIME PLASTICS LIMITED,201.29,209.84,197.13,204.62,201.29,152131
2026-08-25,AGL,ALLCARGO GLOBAL LIMITED,13.92,14.5,13.8,14.07,13.86,5444136
2026-08-25,ALLCARGO,ALLCARGO LOGISTICS LTD,13.32,13.32,12.0,12.26,13.33,47066996
2026-08-25,ATL,ALLCARGO TERMINALS LTD,27.49,27.99,26.72,27.16,27.59,319637
